url,image_url,age,season,type,gender,colour
https://www.flipkart.com/luqatti-men-solid-casual-light-blue-shirt/p/itmcb35617c4862b?pid=SHTGCQY8FQ8HFZPP&lid=LSTSHTGCQY8FQ8HFZPPQBW2U9&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fkp7&srno=b_1_1&otracker=hp_rich_navigation_3_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2527s%2BTop%2BWear~Men%2527s%2BCasual%2BShirts_S4ITKV5A4VL6&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=en_rehxdcNbR7NqGIDKECUOp9ZgNtPe92wU1IR3k7MniEySvqWDXcvtUYEPgLdZiI9Kt3Ox1B9s0DqAc6PuU0fXyg%3D%3D&ppt=browse&ppn=browse&ssid=vo77l0h6gnqupc741692110486300,https://rukminim2.flixcart.com/image/612/612/l13whow0/shirt/x/a/r/l-lqt-r-luqatti-original-imagcqy7vbtmhvcr.jpeg?q=70,adult,summer winter,casual,male,blue
https://www.flipkart.com/luqatti-men-solid-casual-pink-shirt/p/itm9f79dd9367224?pid=SHTGCQY8HNEC3NAG&lid=LSTSHTGCQY8HNEC3NAGGTOFBP&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fkp7&srno=b_1_2&otracker=hp_rich_navigation_3_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2527s%2BTop%2BWear~Men%2527s%2BCasual%2BShirts_S4ITKV5A4VL6&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=en_rehxdcNbR7NqGIDKECUOp9ZgNtPe92wU1IR3k7MniEz91Stptma2oLYfwA2U6idWCVTaqXvf8buSV6Jvdb6p0w%3D%3D&ppt=browse&ppn=browse&ssid=vo77l0h6gnqupc741692110486300,https://rukminim2.flixcart.com/image/612/612/l13whow0/shirt/k/j/x/s-lqt-r-luqatti-original-imagcqy7bs367e3c.jpeg?q=70,adult,summer winter,casual,male,pink
https://www.flipkart.com/vebnor-men-solid-casual-grey-shirt/p/itmfbb7c9d433df3?pid=SHTFZFTGEHZFXB3D&lid=LSTSHTFZFTGEHZFXB3D2BBWXN&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fkp7&srno=b_1_7&otracker=hp_rich_navigation_3_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2527s%2BTop%2BWear~Men%2527s%2BCasual%2BShirts_S4ITKV5A4VL6&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=1409a348-5f5a-48c9-b0d8-f7b93630a6c2.SHTFZFTGEHZFXB3D.SEARCH&ppt=browse&ppn=browse&ssid=vo77l0h6gnqupc741692110486300,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/i/b/p/s-st2-vebnor-original-imagpv8vufgg5egp.jpeg?q=70,teen adult,summer winter,casual,male,grey
https://www.flipkart.com/vtexx-men-solid-formal-light-green-shirt/p/itm9d3488c6c6b0d?pid=SHTGMNGQTDBTJUDP&lid=LSTSHTGMNGQTDBTJUDPOIOTBP&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fbk1&spotlightTagId=BestsellerId_clo%2Fash%2Faxc%2Fmmk%2Fbk1&srno=b_1_7&otracker=browse&fm=organic&iid=89906e98-3f1c-490e-b469-790ee693c02f.SHTGMNGQTDBTJUDP.SEARCH&ppt=browse&ppn=browse&ssid=wyw6n5zypfa4faps1692110716431,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/j/x/h/4xl-13-lstr-acqua-vtexx-original-imagnx7fpc4maeha.jpeg?q=70,adult,summer winter,formal casual,male,light green
https://www.flipkart.com/tibra-collection-men-embroidered-straight-kurta/p/itmc3ea5dcfe55d3?pid=KTAGFCBHCU9YFCUF&lid=LSTKTAGFCBHCU9YFCUF0YM18S&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Fjks&srno=b_1_8&otracker=browse&fm=organic&iid=en_BOJDtHD087x_ED61HXRIvrZhDH3qGXSr7WyeNQ3Dmog3gpCV8NBE-1B9R8wb22Fi1ykqutTGmCewcvX7rKs1Qw%3D%3D&ppt=browse&ppn=browse&ssid=yl8r402nnf7euxog1692110815093,https://rukminim2.flixcart.com/image/612/612/l4fxh8w0/kurta/k/e/q/xxl-patti-11-tibra-collection-original-imagfcbdfmn9gewx.jpeg?q=70,teen adult,summer winter,ethnic,male,black gold
https://www.flipkart.com/chote-raja-collection-printed-sherwani/p/itmba4df16e93909?pid=SRWGFTCDGWSRRMWC&lid=LSTSRWGFTCDGWSRRMWCFFI2CI&marketplace=FLIPKART&store=clo%2Fcfv%2Fdra%2Fbrt&srno=b_1_2&otracker=browse&fm=organic&iid=en_BdWNd4wxRFwU9uvaoFn236NpdDEpiamcLfyzRJpOEg3dCmjiyDEyta8Nn-Jkef307mm2xorndAoLQAmFwbCfcQ%3D%3D&ppt=browse&ppn=browse,https://rukminim2.flixcart.com/image/612/612/l52sivk0/sherwani/d/8/h/m-jss-090707-chote-raja-collection-original-imagftcddba5eqfu.jpeg?q=70,adult ,summer winter,ethnic,male,red
https://www.flipkart.com/blive-boys-printed-cotton-blend-t-shirt/p/itmac754d3384b5b?pid=KTBGRUEQUEXAFVHA&lid=LSTKTBGRUEQUEXAFVHAQYIP3V&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_1&otracker=browse&fm=organic&iid=en_R_hAZLG_l0OpSIK12QKQGWW1h-enPOPAuvX1btCCpyiExGnMzTIGqELHOYsxMAVFbAw0KK-ymYEnd62hJSm-tw%3D%3D&ppt=browse&ppn=browse&ssid=7rtg3frukuqedkow1692110987529,https://rukminim2.flixcart.com/image/612/612/xif0q/kids-t-shirt/d/w/t/3-4-years-brdmbz124-nvrnfulboymbz120-blive-original-imagruezxqnbqvrr.jpeg?q=70,kid,winter,casual,male,red black
https://www.flipkart.com/pohar-creation-boys-festive-party-kurta-pyjama-set/p/itmea336ce94610c?pid=KETGG38FVJGH4GXK&lid=LSTKETGG38FVJGH4GXKLB7GON&marketplace=FLIPKART&store=clo%2Fcfv&srno=b_1_1&otracker=browse&fm=organic&iid=en_Ku4Vj4zYWx-JBuB8N6IpB-i7QZSLODo0QdTer3gCLt3IrMi5tRkNxnyfLL7YTnALGxRyxCFqnBpvGEKiztvdZw%3D%3D&ppt=browse&ppn=browse&ssid=vbtm6v3tyew4sy681692111030263,https://rukminim2.flixcart.com/image/612/612/kqqykcw0/kids-ethnic-set/w/j/x/10-11-years-arrow01-pohar-creation-original-imag4p44cqrg8hzw.jpeg?q=70,kid,summer winter,ethnic,male,blue
https://www.flipkart.com/miss-chief-girls-midi-knee-length-casual-dress/p/itm5e20a1f241c7e?pid=KDEGMHWP7S7Z3VHH&lid=LSTKDEGMHWP7S7Z3VHHQLWKJ5&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fzc1&srno=b_1_3&otracker=browse&fm=organic&iid=afacd8fe-89ee-4f31-a0da-261f81ced500.KDEGMHWP7S7Z3VHH.SEARCH&ppt=browse&ppn=browse&ssid=ky4hhk6b4yteyeio1692111091131,https://rukminim2.flixcart.com/image/612/612/xif0q/kids-dress/u/t/2/7-8-years-m-c-midi-fuchsiaheart-miss-chief-original-imagmhwzwfxvsvmr.jpeg?q=70,kid,summer,casual,female,pink
https://www.flipkart.com/satyamfab-baby-girls-festive-party-kurta-dhoti-pant-set/p/itm7316e181ad11d?pid=KETGRU5XZMJFFC3Y&lid=LSTKETGRU5XZMJFFC3YUOZUII&marketplace=FLIPKART&store=clo%2Fcfv&srno=b_1_6&otracker=browse&fm=organic&iid=fcc57a52-a293-49c5-ae32-2ce4ecde0420.KETGRU5XZMJFFC3Y.SEARCH&ppt=browse&ppn=browse&ssid=lnulsywomzt5evi81692111126978,https://rukminim2.flixcart.com/image/612/612/xif0q/kids-ethnic-set/t/x/u/5-6-years-5259-satyamfab-original-imagru5xnb36uug3.jpeg?q=70,kid,summer,ethnic,female,yellow
